Colonne2;Animal;Quantite;Nourriture 1;Nourriture 2;Nourriture 3
;Petit chaton furieux (partiellement digere);1;Viande indefinissable;Steak appetissant;Boite de conserve ouverte
;Rat geant;1;Boite de conserve ouverte;Steak appetissant;Viande indefinissable
;Petit chaton furieux (partiellement digere);1;Viande indefinissable;Steak appetissant;Boite de conserve ouverte
;Gros chat mignon;1;Viande indefinissable;Boite de conserve ouverte;Steak appetissant
;Cochon malodorant;1;Viande indefinissable;Bon plat fait-maison;Steak appetissant
;Cochon malodorant;1;Boite de conserve ouverte;Napolitains moisis;Viande indefinissable
;Rat geant;1;Steak appetissant;Bon plat fait-maison;Viande indefinissable
;Gros chat mignon;1;Steak appetissant;Viande indefinissable;Jambon-beurre moisi
;Serpent de 2 metres;1;Bon plat fait-maison;Viande indefinissable;Bretzel sableux
;Serpent de 2 metres;1;Viande indefinissable;Legume suspect;Ailerons de poulet entames
;Rat geant;1;Viande indefinissable;Steak appetissant;Boite de conserve ouverte
;Poule;1;Viande indefinissable;Boite de conserve ouverte;Ailerons de poulet entames
;Serpent de 2 metres;1;Steak appetissant;Viande indefinissable;Petits beurres rances
;Cochon malodorant;1;Viande indefinissable;Steak appetissant;Legume suspect
;Gros chat mignon;1;Pim's perime;Steak appetissant;Viande indefinissable
;Serpent de 2 metres;1;Bon plat fait-maison;Pim's perime;Viande indefinissable
;Gros chat mignon;1;Viande indefinissable;Pim's perime;Biscuit fade
;Gros chat mignon;1;Bon plat fait-maison;Paquet de chips molles;Viande indefinissable
;Poule;1;Boite de conserve ouverte;Viande indefinissable;Pim's perime
;Petit chaton furieux (partiellement digere);1;Viande indefinissable;Jambon-beurre moisi;Bon plat fait-maison
;Gros chat mignon;1;Steak appetissant;Boite de conserve ouverte;Ailerons de poulet entames
;Rat geant;1;Boite de conserve ouverte;Steak appetissant;Viande indefinissable
;Rat geant;1;Boite de conserve ouverte;Steak appetissant;Viande indefinissable
;Poule;1;Jambon-beurre moisi;Bon plat fait-maison;Biscuit fade
;Cochon malodorant;1;Bretzel sableux;Viande indefinissable;Legume suspect
;Serpent de 2 metres;1;Viande indefinissable;Steak appetissant;Bon plat fait-maison
;Rat geant;1;Steak appetissant;Bon plat fait-maison;Viande indefinissable
;Teckel galeux;1;Steak appetissant;Viande indefinissable;Bon plat fait-maison
;Serpent de 2 metres;1;Pim's perime;Boite de conserve ouverte;Viande indefinissable
;Poule;1;Boite de conserve ouverte;Viande indefinissable;Legume suspect
;Serpent de 2 metres;1;Steak appetissant;Bon plat fait-maison;Viande indefinissable
;Gros chat mignon;1;Steak appetissant;Viande indefinissable;Legume suspect
;Cochon malodorant;1;Legume suspect;Viande indefinissable;Bon plat fait-maison
;Petit chaton furieux (partiellement digere);1;Bon plat fait-maison;Legume suspect;Viande indefinissable
;Gros chat mignon;1;Legume suspect;Melon d'intestin;Viande indefinissable
;Poule;1;Boite de conserve ouverte;Viande indefinissable;Pim's perime
;Serpent de 2 metres;1;Steak appetissant;Petits beurres rances;Ailerons de poulet entames
;Gros chat mignon;1;Steak appetissant;Boite de conserve ouverte;Viande indefinissable
;Gros chat mignon;1;Viande indefinissable;Boite de conserve ouverte;Bon plat fait-maison
;Petit chaton furieux (partiellement digere);1;Steak appetissant;Bon plat fait-maison;Viande indefinissable
;Gros chat mignon;1;Pim's perime;Nouilles chinoises;Viande indefinissable
;Serpent de 2 metres;1;Bon plat fait-maison;Viande indefinissable;Steak appetissant
;Petit chaton furieux (partiellement digere);1;Viande indefinissable;Boite de conserve ouverte;Steak appetissant
;Serpent de 2 metres;1;Bretzel sableux;Viande indefinissable;Steak appetissant
;Cochon malodorant;1;Bon plat fait-maison;Steak appetissant;Viande indefinissable
;Cochon malodorant;1;Viande indefinissable;Boite de conserve ouverte;Steak appetissant
;Serpent de 2 metres;1;Steak appetissant;Viande indefinissable;Nouilles chinoises
;Poule;1;Viande indefinissable;Boite de conserve ouverte;Bretzel sableux
;Cochon malodorant;1;Boite de conserve ouverte;Steak appetissant;Napolitains moisis
;Cochon malodorant;1;Steak appetissant;Boite de conserve ouverte;Viande indefinissable
;Serpent de 2 metres;1;Plat fait-maison douteux;Viande indefinissable;Steak appetissant
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Bon plat fait-maison
;Cochon malodorant;1;Boite de conserve ouverte;Viande indefinissable;Bon plat fait-maison
;Cochon malodorant;1;Bon plat fait-maison;Viande indefinissable;Melon d'intestin
;Cochon malodorant;1;Steak appetissant;Bon plat fait-maison;Viande indefinissable
;Gros chat mignon;1;Legume suspect;Viande indefinissable;Steak appetissant
;Rat geant;1;Viande indefinissable;Steak appetissant;Bon plat fait-maison
;Poule;1;Viande indefinissable;Legume suspect;Melon d'intestin
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Legume suspect
;Cochon malodorant;1;Viande indefinissable;Legume suspect;Steak appetissant
;Petit chaton furieux (partiellement digere);1;Steak appetissant;Viande indefinissable;Bon plat fait-maison
;Serpent de 2 metres;1;Boite de conserve ouverte;Viande indefinissable;Steak appetissant
;Serpent de 2 metres;1;Viande indefinissable;Petits beurres rances;Biscuit fade
;Poule;1;Bon plat fait-maison;Viande indefinissable;Boite de conserve ouverte
;Poule;1;Viande indefinissable;Jambon-beurre moisi;Nouilles chinoises
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Biscuit fade
;Petit chaton furieux (partiellement digere);1;Viande indefinissable;Œuf;Steak appetissant
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Legume suspect
;Rat geant;1;Steak appetissant;Viande indefinissable;Legume suspect
;Serpent de 2 metres;1;Viande indefinissable;Œuf;Steak appetissant
;Gros chat mignon;1;Viande indefinissable;Boite de conserve ouverte;Bon plat fait-maison
;Cochon malodorant;1;Viande indefinissable;Boite de conserve ouverte;Steak appetissant
;Poule;1;Steak appetissant;Œuf;Legume suspect
;Gros chat mignon;1;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
;Petit chaton furieux (partiellement digere);1;Viande indefinissable;Legume suspect;Œuf
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Boite de conserve ouverte
;Rat geant;1;Boite de conserve ouverte;Chewing-gums seches;Viande indefinissable
